股票代码,公司简称,cos,Indcd,文字数量
000505,京粮控股,0.2147443425740996,K70,19462
300218,安利股份,0.21471218154744462,C29,24261
300112,万讯自控,0.21449317716533,C40,28393
300857,协创数据,0.21447607286029122,C39,16239
300099,精准信息,0.2144555586183107,C35,22571
300929,华骐环保,0.21441101704357904,N77,14845
300071,华谊嘉信,0.21439178155480423,I65,12401
300170,汉得信息,0.21435952719244827,I65,36588
300266,兴源环境,0.21425222852853343,C34,10445
605001,威奥股份,0.21422533146089912,C37,21775
605298,必得科技,0.21410456303560965,C37,14508
002090,金智科技,0.21409895042282556,I64,20359
300598,诚迈科技,0.21405210719940793,I65,18834
002171,楚江新材,0.21403273248307067,C32,48815
603501,韦尔股份,0.21392409595813924,C39,31075
002901,大博医疗,0.2139094286422964,C35,21166
002892,科力尔,0.2138923964925686,C38,19309
300513,恒实科技,0.21386489000710932,I65,16091
688215,瑞晟智能,0.21383264066541954,C35,21717
002347,泰尔股份,0.21376672552943293,C34,8801
605100,华丰股份,0.21375754823978982,C34,14329
600206,有研新材,0.21371528062491835,C41,21623
002940,昂利康,0.2136685786002569,C27,25303
003035,南网能源,0.21363499957859722,M75,23141
688679,通源环境,0.21362579692829903,N77,13463
688567,孚能科技,0.21362431415808075,C38,24103
300952,恒辉安防,0.21358867471251372,C17,16255
300745,欣锐科技,0.21358002062408227,C36,26091
000629,攀钢钒钛,0.21357307671424736,C31,15448
002063,远光软件,0.2135708521060804,I65,34183
300577,开润股份,0.2135707832504723,C17,34908
300415,伊之密,0.2135495017553345,C35,21942
300965,恒宇信通,0.2135169680823223,C39,12051
